"0 disables log cleaning. Not recommended.","0 disables log cleaning. Not recommended."
"A total of %1 email(s) have been cancelled.","A total of %1 email(s) have been cancelled."
"A total of %1 email(s) have been deleted.","A total of %1 email(s) have been deleted."
"A total of %1 email(s) have been sent.","A total of %1 email(s) have been sent."
"Abandoned Checkout","Abandoned Checkout"
"Actions","Actions"
"Add new email","Add new email"
"All groups","All groups"
"All outgoing emails will be sent to test email recipient","All outgoing emails will be sent to test email recipient"
"All Product Types","All Product Types"
"Are you sure?","Are you sure?"
"Are you sure you want to cancel the email?","Are you sure you want to cancel the email?"
"Are you sure you want to delete the email?","Are you sure you want to delete the email?"
"Are you sure you want to send the email immediately?","Are you sure you want to send the email immediately?"
"before","before"
"Cancel","Cancel"
"Cancel selected emails?","Cancel selected emails?"
"Cancelled","Cancelled"
"Cart Conditions","Cart Conditions"
"Cart Grand Total","Cart Grand Total"
"Cart Subtotal","Cart Subtotal"
"Conditions","Conditions"
"Content","Content"
"Created At","Created At"
"Create New Email","Create New Email"
"Customer Birthday","Customer Birthday"
"Customer Conditions","Customer Conditions"
"Customer Email","Customer Email"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Customer Groups","Customer Groups"
"Customer Placed Order","Customer Placed Order"
"Customer Registration","Customer Registration"
"Customer Subscribed To Newsletter","Customer Subscribed To Newsletter"
"day","day"
"days","days"
"Delete","Delete"
"Delete selected emails?","Delete selected emails?"
"Disable","Disable"
"Documentation","Documentation"
"Edit email","Edit email"
"Email Information","Email Information"
"Email Name","Email Name"
"Email was successfully cancelled.","Email was successfully cancelled."
"Email was successfully deleted.","Email was successfully deleted."
"Email was successfully saved.","Email was successfully saved."
"Email was successfully sent.","Email was successfully sent."
"Enable","Enable"
"Enable Test Mode","Enable Test Mode"
"Error","Error"
"Error filtering template: %s","Error filtering template: %s"
"Event","Event"
"Events","Events"
"Emails","Emails"
"Failed","Failed"
"Follow Up Email","Follow Up Email"
"Follow Up Email by aheadWorks","Follow Up Email by aheadWorks"
"Follow Up Email Preview","Follow Up Email Preview"
"General","General"
"General Conditions","General Conditions"
"hour","hour"
"hours","hours"
"Immediately","Immediately"
"Keep Emails For, days","Keep Emails For, days"
"Last Customer Activity","Last Customer Activity"
"later","later"
"Long time no see? Perhaps a gentle reminder about a new collection or a promo coupon might encourage some your customers to come around.","Long time no see? Perhaps a gentle reminder about a new collection or a promo coupon might encourage some your customers to come around."
"Mail Log","Mail Log"
"minutes","minutes"
"Name","Name"
"New email","New email"
"Newsletter subscription is an indication of being interested. Use this momentum to offer your clients additional information sources, e.g. your social media pages or blogs.","Newsletter subscription is an indication of being interested. Use this momentum to offer your clients additional information sources, e.g. your social media pages or blogs."
"None of the selected emails can be cancelled.","None of the selected emails can be cancelled."
"Order Grand Total","Order Grand Total"
"Order Increment Id","Order Increment Id"
"Order Status Changed","Order Status Changed"
"Order Status","Order Status"
"Order Statuses","Order Statuses"
"Order Subtotal","Order Subtotal"
"Pending","Pending"
"Pick any status changes that might require customer attention. Notify the customer about the failed payment, or let him know his order has been shipped out, or wait a couple weeks and ask a customer to provide a product review for your store.","Pick any status changes that might require customer attention. Notify the customer about the failed payment, or let him know his order has been shipped out, or wait a couple weeks and ask a customer to provide a product review for your store."
"Preview","Preview"
"Products","Products"
"Product Types","Product Types"
"Provide your clients with thorough details regarding purchased products, warranty and return policies. Offer additional merchandise and services based on the first order.","Provide your clients with thorough details regarding purchased products, warranty and return policies. Offer additional merchandise and services based on the first order."
"Readme","Readme"
"Recipient Email","Recipient Email"
"Recipient Name","Recipient Name"
"Save as new","Save as new"
"Saved","Saved"
"Schedule the birthday email for the customer with a coupon code or a limited offer and include a store link with a motivational birthday greeting.","Schedule the birthday email for the customer with a coupon code or a limited offer and include a store link with a motivational birthday greeting."
"Scheduled At","Scheduled At"
"Sender","Sender"
"Send email","Send email"
"Send Now","Send Now"
"Send selected emails immediately?","Send selected emails immediately?"
"Send Test Email","Send Test Email"
"Sent","Sent"
"Sent At","Sent At"
"Settings","Settings"
"Something went wrong while cancelling the email.","Something went wrong while cancelling the email."
"Something went wrong while cancelling the email.","Something went wrong while cancelling the email."
"Something went wrong while deleting the email.","Something went wrong while deleting the email."
"Something went wrong while deleting the email(s).","Something went wrong while deleting the email(s)."
"Something went wrong while saving the event.","Something went wrong while saving the event."
"Something went wrong while sending the email.","Something went wrong while sending the email."
"Something went wrong while sending the email(s).","Something went wrong while sending the email(s)."
"Specify event type, email name, subject and content","Specify event type, email name, subject and content"
"Specify when email should be sent","Specify when email should be sent"
"Store Name","Store Name"
"Status","Status"
"Subject","Subject"
"Get Support","Get Support"
"Test Email Recipient","Test Email Recipient"
"Think of this as being a good host. Welcome a client, show where everything is, suggest some starting points, offer something on the house, and remind your client to ask for help should anything come up.","Think of this as being a good host. Welcome a client, show where everything is, suggest some starting points, offer something on the house, and remind your client to ask for help should anything come up."
"This will be used by default as ""From"" in outgoing emails","This will be used by default as ""From"" in outgoing emails"
"The event name must be unique.","The event name must be unique."
"This email cannot be cancelled.","This email cannot be cancelled."
"This event no longer exists.","This event no longer exists."
"Unable to send test email. Test Email Recipient is not specified.","Unable to send test email. Test Email Recipient is not specified."
"We recommend sending several consecutive emails, increasing the pressure as more time goes by. You may start by asking the client whether something went wrong and offering some alternatives and finish off with a limited time discount offer.","We recommend sending several consecutive emails, increasing the pressure as more time goes by. You may start by asking the client whether something went wrong and offering some alternatives and finish off with a limited time discount offer."
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"When","When"